Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,99999
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 1,AA
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 3,AA11
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 4,AA111
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 3,AA12
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 4,AA121
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 3,AA13
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 4,AA131
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 3,AA14
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
2021,Level 4,AA141
